Türkçe ,İngilizce
recognize,"tanımak, fark etmek"
recommend,"önermek, tavsiye etmek"
recommendation,öneri
record,"kayıt, kaydetmek"
record industry,müzik kayıt sektörü
recording,kayıt
recover,"düzelmek, iyileşmek"
recovery,iyileşme
recreate,tekrar oluşturmak
recruit,işe almak
recurrent,tekrarlayan
rediscover,yeniden keşfetmek
rediscovery,yeniden keşif
reduce,azaltmak
reduction,azalma
redundant,işsiz
re-establish,yeniden kurmak
refer to,"atıfta bulunmak, -den bahsetmek"
reflect,yansıtmak
reflect on,düşünmek
reflection,yansıma
reform,"düzenleme, yapılandırma"
refreshing,ferahlatıcı
refrigerator,buzdolabı
refusal,ret
refuse,reddetmek
regard as,… olarak görmek
regarding,… ile ilgili
regardless of,"bakılmaksızın, ne olursa olsun"
region,bölge
regret,pişman olmak
regrettably,pişmanlıkla
regular,düzenli
regularly,düzenli olarak
regulate,düzenlemek
reign,saltanat
reject,reddetmek
relate,ilişkilendirmek
relate to,ilişkilendirmek
related,ilişkili
related to,… ile ilişkili
relationship,ilişki
relative,akraba
relative,"nispeten / nispeten, görece"
relativity,görecelilik
relax,rahatlamak
relaxing,"dinlendirici, rahatlatıcı"
release,"açığa çıkarmak, çevreye salmak / kitap, albüm, film vs. piyasaya çıkarmak / tahliye etmek"
relevance,bağıntılılık
relevant,ilgili
reliable,güvenilir
relic,kalıntı
relief,rahatlama
relieve,rahatlatmak
religion,din
religious,dindar / dini
reluctance,isteksizlik
reluctant,isteksiz
rely on,"dayanmak, ihtiyaç duymak, güvenmek, bir şeye bağımlı olmak"
remain,değişmeden kalmak
remain the same,"aynı kalmak, değişmemek"
remain unchanged,değişmeden kalmak
remark,"söz, ifade"
remarkable,"dikkate değer, önemli"
remedy,"çare, deva"
remember,hatırlamak
remind,hatırlatmak
reminiscent,-i anımsatan
remote,uzak
remove,çıkarmak
Renaissance,Rönesans
renew,yenilemek
renewable,yenilenebilir
rent,kiralamak
repair,tamir etmek
repeat,tekrarlamak
repeatedly,defalarca
repetitive,sürekli aynı şeyi tekrar eden
replace,"değiştirmek, yerine geçmek"
replacement,"yedek, yerine geçecek şey- kişi"
replicable,yinelenebilir
report,"rapor, bildiri"
represent,temsil etmek
representative,"temsilci, yansıtan"
republican,cumhuriyetçi
repulse,geri püskürtmek
require,"gerektirmek, ihtiyaç duymak"
requirement,gereksinim
rescue,kurtarma
research,araştırma
researcher,araştırmacı
resemblance,benzerlik
resemble,benzemek
reserve,"rezerv, stok, yedek"
reserved for,"özel, münhasır"
residence,"ev, konut"
resident,"yerli, bir bölgede yaşayan"
residual,kalıcı
resolution,çözünürlük
resource,kaynak
respect,"açı, yön / saygı / saygı duymak"
respectable,"güvenilir, saygın"
respected,saygı duyulan
respectively,sırasıyla
respond,"tepki göstermek, karşılık vermek"
response,"karşılık, yanıt"
responsibility,sorumluluk
responsible,sorumlu
responsible for,sorumlu
rest,dinlenme / geriye kalan
restless,"hareketli, yerinde duramayan"
restoration,"restorasyon, yenileme"
restore,korumak
restricted,sınırlandırılmış
restricted to,"sınırlı, kısıtlı"
restrictive,kısıtlayıcı
restructure,yeniden yapılandırmak
result,sonuç
result from,-den kaynaklanmak
result in,sebep olmak
retain,elde tutmak
retire,emekli olmak
retold,tekrar anlatılan
return,geri dönmek
reusable,yeniden kullanılabilir
reveal,açığa çıkarmak
review,"değerlendirme, eleştiri"
revival,diriliş
revive,dirilmek
revolution,devrim
revolutionary,devrimci
rheumatism,romatizma
rhyme,"uyak, kafiye"
rhythm,ritm
rich,zengin
richness,zenginlik
ride,"ata binmek, sürmek"
rider,sürücü
ridicule,alay
right,"doğru, uygun / hak, haklı"
rigid,"katı, kesin, sert, esnemeyen"
ring,halka
rise,"artmak, yükselmek"
rising,yükselmekte olan
risk,riske atmak
rival,rekabet etmek
rivalry,rekabet
river,"nehir, ırmak"
river bed,nehir yatağı
road,yol
rock,kaya
rocky,kayalık
roll up,"dürmek, katlamak"
room temperature,oda ısısı
root,kök
rose,gül
rotation,dönüş
rough,sert
roughly,"kabaca, yaklaşık"
route,"rota, güzergah"
rub,"ovmak, silmek"
rubbish,çöp
rug,kilim
ruin,"kalıntı, harabe"
rule,"hakimiyet, hükmetmek / kural"
run,"sürmek, devam etmek"
run away,kaçmak
run off,"sızmak, akmak"
run out of,"tüketmek, bitmek"
run over,ezmek
running tap,akan musluk
rural,kırsal
rush hour,"kalabalık saat, iş çıkış saatleri"
rush in,hızla hareket etmek
sad,"üzgün, kederli"
safe,güvenli
safety,güvenlik
safety measure,güvenlik tedbiri
sail,denizde seyahat etmek / yelken
sailor,denizci
salary,maaş
sale,satış
saltiness,tuzluluk
sample,örnek
sand,kum
sandy,kumlu
sardine,sardalya
satellite,uydu
satirize,"yermek, taşlamak"
satisfaction,memnuniyet
satisfied with,memnun
satisfying,tatmin edici
save,"korumak, kurtarmak"
save money,para biriktirmek
saviour,kurtarıcı
saying,"söz, deyiş"
Scandinavia,İskandinavya
scarce,az
scarcely,nadiren
scarcely any,neredeyse hiç
scene,sahne
scenery,manzara
scent,koku
sceptical,şüpheci
schedule,program
scheme,şema
schizophrenia,şizofreni
scholar,bilim insanı
schoolmaster,okul müdürü
science,bilim
scientific,bilimsel
scientist,bilim insanı
scratch,çizim aşaması
screen,ekran
scuba diver,dalgıç
sculpt,heykel yapmak
sculpture,heykel
seabed,deniz yatağı (dibi)
seacoast,deniz kıyısı
seaman,denizci
search,"arama, aramak"
seat,"oturak, koltuk"
seating,oturak
secondary,ikincil
second-hand smoking,pasif içicilik
secret,gizli
secretly,gizli olarak
secular,laik
security,güvenlik
sedentary,sakin
seed,tohum
seek,"amaçlamak, çabalamak, aramak"
seem,gibi görünmek
seem like,gibi görünmek
seep,sızmak
seldom,nadiren
self,"öz, benlik"
self esteem,kendine saygı
self-conscious,bilinçli
self-expression,kendini ifade etme
selfish,bencil
selflessness,bencil olmama
self-sufficiency,kendine yetme
self-taught,kendi kendini eğitmiş
sell,satmak
semidarkness,yarı karanlık
send,göndermek
send for,çağırmak
send out,yollamak
sensation,sansasyon
sensational,"sansasyonel, şaşkınlık yaratan"
sense,"duyu, his, hissetmek"
sensible,"duyarlı, mantıklı"
sensibly,duyarlı bir biçimde
sensitive,hassas
separate,"ayırmak / ayrı, farklı"
separateness,farklılık
series,"dizi, seri"
serious,ciddi
seriously,ciddi bir biçimde
serve,hizmet etmek
service,hizmet
session,seans
set,grup
set off,yola çıkmak
set out,"başlamak, yola çıkmak"
set up,kurmak
settle,yerleşmek
settle down,"durulmak, sakinleşmek"
settlement,yerleşim yeri
several,"birçok, çeşitli"
severe,"ciddi, tehlikeli"
severity,"sertlik, ciddiyet"
sewing machine,dikiş makinesi
shade,gölge
shake,"sallamak, sarsmak"
shallow,sığ
shame,utanç
shape,"şekil, biçim"
share,paylaşmak
shared,ortak
sharp,keskin
sharp-eyed,keskin gözlü
shell,kabuk
shelter,barınak
shine,parlamak
ship,gemi
shipwreck,gemi enkazı
shipbuilding,gemi inşası
shock,şok
shoe,ayakkabı
shoreline,sahil şeridi
shortage,kıtlık
shortcoming,"eksiklik, yetersizlik"
short-sighted,uzağı göremeyen
shout,bağırmak
show,göstermek
show up,ortaya çıkmak
shuttle,mekik
shy,utangaç
side,"taraf, yan"
sight,"manzara, görülecek yer"
sightseeing,"şehir turu, gezi"
sign,"işaret, belirti, gösterge"
sign up,kaydolmak
significance,önem
significant,önemli
significantly,önemli oranda
silkworm,ipek böceği
similar,benzer
similarity,benzerlik
simple,basit
simply,"basitçe, sadece, yalnızca"
simulate,taklit etmek
simulation,"taklit, benzeşim, simülasyon"
single prop,tek pervaneli
sink,(gemi) batmak
sister,kız kardeş
site,"alan, bölge, yer"
situate,konumlandırmak
situated in / on,"bulunmak, yer almak"
situation,durum
size,"boyut, büyüklük"
sketch,gazete yazısı
skier,kayakçı
skilful,kabiliyetli
skill,beceri
skin,"cilt, deri"
skull,kafatası
sky,gökyüzü
skyward,gökyüzüne doğru
sleeper,uyuyan kişi
sleeping pill,uyku hapı
slightly,biraz
slippers,terlik
slow down,yavaşlatmak
small intestine,ince bağırsak
smart,zeki
smell,koku
smuggle,"sızmak, gizlice girmek"
snake,yılan
sneeze,hapşırmak
snow,kar (yağmak)
sociability,"sosyallik, girişkenlik"
social,"sosyal, toplumsal"
society,"topluluk, toplum"
soft,yumuşak
softener,yumuşatıcı
software,yazılım
soil,toprak
solar,güneş
solar farm,güneş enerji santrali
solar power,güneş enerjisi
solar system,güneş sistemi
sold out,"tükenmiş, satılıp bitmiş"
soldier,asker
solely,sadece
solid,katı
solo,tek
solution,çözüm
solve,çözmek
somehow,her nasılsa
somewhat,biraz
sooner or later,er ya da geç
sophisticated,"ileri, karmaşık"
sort,tür
sound,ses
sound-recording,ses kaydı
source,kaynak
souvenir,hediyelik eşya
space,"alan, boşluk, uzay"
space age,uzay çağı
space liner,uzay gemisi
space probe,uzay aracı
space station,uzay istasyonu
space tourism,uzay turizmi
spacecraft,uzay aracı
spaceship,uzay gemisi
Spaniard,İspanyol
sparkling,ışıltılı
speak,"seslenmek, konuşmak"
special,özel
special effect,özel efekt
specialist,uzman
species,tür
specific,"belli, özel"
specifically,özel olarak
specifically-formulated,özel formüllü
specify,belirlemek
spectacle,görüntü
spectacular,"harika, mükemmel"
spectator,izleyici
speculate about,tahminde bulunmak
speech,"konuşma, nutuk"
speed,hız
speed up,hızlandırmak
spend,"(zaman) geçirmek, harcamak"
spend time,zaman geçirmek
spice,baharat
spinning wheel,çıkrık
spirit,"ruh, anlayış"
splendid,muhteşem
splendour,ihtişam
split,parçalamak
spoil,bozmak
spoon,kaşık
spot,"fark etmek, görmek"
spread,"yayılma, yayılmak, yaymak"
stable,"stabil, sabit"
staff,personel
stage,"evre, aşama / sahne, sahnelemek, sergilemek"
stairs,merdiven
stamp,vurmak
stand,kürsü
stand by,"yanında durmak, destek olmak"
stand on,üzerinde durmak
stand out,öne çıkmak
stand still,hareketsiz durmak
standardized,standartlaşmış
staple crop,temel ekin
star,yıldız
stare,bakmak
star-shaped,yıldız şeklinde
state,"belirtmek, söylemek"
statement,ifade
station,istasyon
statue,heykel
status,"statü, durum"
stay the same,aynı kalmak
steadily,düzenli olarak
steady,düzenli
steel,çelik
steep,dik
stem,sap
step,"aşama, adım"
stick,çomak
stiff,sert
stir,karıştırmak
stock exchange,borsa
stomach,mide
stone,taş
stop,"durak, durmak"
stop short of,…e kadar gidememek
store,"saklamak, tutmak"
storm,fırtına
story,"öykü, olay akışı"
story-teller,hikaye anlatan kişi
straight,doğrudan
strain,"germek, zorlamak"
strange,garip
strangely,garip bir biçimde
stranger,yabancı
strategy,strateji
strength,güç
strengthen,güçlendirmek
stress,vurgulamak
stretch,yayılmak
strict,katı
strictly,kesinlikle
strike,grev / vurmak
striking,"büyük, çarpıcı"
strikingly,çarpıcı bir biçimde
stripe,şerit
stroll,yürümek
strong,"güçlü, sert"
structure,yapı
struggle,mücadele etmek
stuck,sıkışmış
study,"araştırma, araştırmak"
style,"tarz, stil"
subatomic,atomaltı
subject,kobay / konu
subjective,öznel
submit to,-e sunmak
subside,dibe çökmek
substance,madde
substantial,önemli ölçüde
substitute for,…ile değiştirmek
substratum,altkatman
subtle,"ince, küçük"
subtle,küçük
succeed,"başarılı olmak, geçmek"
success,başarı
suck,emmek
sudden,ani
suddenly,"aniden, birdenbire"
suffer,"sıkıntı çekmek, hastalık geçirmek, zarar görmek, yaşamak"
suffer an injury,yaralanmak
suffer from,"mağdur olmak, sıkıntı çekmek"
suffering,"acı, acı çekme"
sufficient,yeterli
suggest,"iddia etmek, öne sürmek / önermek, tavsiye etmek"
suggestion,öneri
suit,kıyafet
suitable,uygun
suitably,uygun bir biçimde
suitcase,bavul
suited,uygun
suited to,uygun
sultan,"padişah, sultan"
sum up,özetlemek
summit,zirve
sun,güneş
sunlight,güneş ışığı
sunset,günbatımı
sunspot,güneş lekesi
superficial,yüzeysel
superior,üstün
superstition,batıl inanç
supervision,denetim
supplement,katkı
supplementary,ek
supplier,tedarikçi
supply,"arz / erzak, stok / tedarik etmek, sağlamak"
support,destek (olmak)
supportive,destekleyici
suppose,sanmak
suppress,bastırmak
supreme,üstün
surely,kesinlikle
surface,yüzey
surpass,geçmek
surplus,üretim fazlası
surprising,şaşırtıcı
surround,çevrelemek
surrounding,çevre
survey,araştırmak
survival,hayatta kalma
survive from,-den kalmak
suspect,"kuşkulanmak / şüpheli, sanık"
suspicious,şüpheli
sustainable,sürdürülebilir
sweep through,-de hızla yayılmak
symbol,sembol
sympathy,anlayış
synapse,sinaps
syndrome,sendrom
synonym,eş anlamlı
tail,kuyruk
take,"(zaman) sürmek, vakit almak"
take away,elinden almak
take exercise,egzersiz (spor) yapmak
take into consideration,dikkate almak
take life,can almak
take measures,önlem almak
take off,(uçak) kalkmak
take on,üstlenmek
take over,(görev) devralmak
take part,görev almak
take part,katılmak
take part in,katılmak
take place,"oluşmak, gerçekleşmek"
take pleasure in,keyif almak
take sth. seriously,ciddiye almak
take up,"kariyer, hobi vs. edinmek, yönelmek"
tale,öykü
talent,yetenek
talented,yetenekli
talk,konuşma
talkative,konuşkan
task,"iş, görev"
taste,"tat, lezzet, zevk"
tax,vergi
teach (V2 / 3 taught),öğretmek
teaching,öğreti
tear apart,parçalamak
tedious,"sıkıcı, yorucu"
teenage,ergen
teenager,"genç, ergen"
temperature,sıcaklık
temporary,geçici
tend to,eğilimli olmak
tendency,eğilim
tenderness,hassasiyet
tension,gerilim
term,terim / dönem
terrible,"feci, çok kötü"
terribly,"aşırı, çok"
terrific,"olağanüstü, harika"
territory,bölge
test,sınamak
text,metin
thank goodness,"şükür ki, neyse ki"
the turn of,başı
theatre,tiyatro
theme,"konu, tema"
theme park,eğlence parkı
theoretical,kuramsal
theory,"teori, kuram"
thinker,düşünür
thorough,"geniş, büyük"
thought,düşünce
threat,"tehdit, tehlike"
threaten,tehdit etmek
through,aracılığıyla
throughout,her yerinde
throw,atmak
throw away,çöpe atmak
throw up,bırakmak
ticket,bilet
tie,"bağ, bağlamak"
time,zaman
timetable,zaman çizelgesi
tin,teneke kutu
tiny,küçük
tip,tavsiye / uç
tiring,yorucu
tissue,doku
title,başlık
to some extent,kısmen
together,birlikte
tool,araç
tooth (pl. teeth),diş
top,zirve
top floor,en üst kat
topic,"konu, başlık"
torpedo,"mayın, torpido"
total,toplam
totally,tamamen
touch,dokunmak
tour,"dolaşmak, tur"
tourist attraction,turist çeken yer
tower,kule
town,"şehir, kasaba"
trace,iz
trace back,bir tarihe dayandırmak
track,güzergah / takip etmek
trade,"ticaret, ticaret yapmak"
tradition,gelenek
traditional,geleneksel
traditionally,geleneksel olarak
traffic light,trafik lambası
tragedy,"tragedya, trajedi"
tragic,"trajik, hüzünlü"
train,eğitmek
training,"antrenman, eğitim"
transform,dönüştürmek
transmit,"geçmek, bulaşmak, aktarmak"
transport,"taşımacılık, ulaşım"
trap,"kapana kısılmak, sıkışıp kalmak / kapan"
travel,seyahat / seyahat etmek
traveller,seyyah
tray,tepsi
treasure,"hazine, define"
treat,"bakmak, ilgilenmek / davranmak / tedavi etmek"
treatment,tedavi
treaty,anlaşma
tree,ağaç
trend,akım
tribe,kabile
tribute money,vergi
trip,gezi
trivia,ıvır zıvır
trivial,"önemsiz, değersiz"
troop,birlik
trouble,"sorun, güçlük"
troubled,sorunlu
Troy,Truva
TRUE,doğru
truly,"gerçekçi bir biçimde, gerçekten"
trust,güvenmek
truth,gerçek
try,"çabalamak, uğraşmak / denemek"
try on,(kıyafet) denemek
tuberculosis,verem
tunnel,tünel
turbine,türbin
turn against sb.,sırt çevirmek
turn down,reddetmek
turn into,dönüşmek
turn off,(ışık v.b.) kapatmak
turn on,açmak
turn out,sonuçlanmak
turn out to be,… olduğu ortaya çıkmak
turn over,"çevirmek, döndürmek"
turn up,(ses) artırmak / bir yere gitmek
turtle,kaplumbağa
tutor,öğretmek
twice,iki kez
twin,ikiz
twin threat,ikiz tehdit
two thirds,üçte iki
type,"tip, tür / (daktilo) yazmak"
typical,"tipik, bildik"
ugliness,çirkinlik
ugly,çirkin
ultimate,"son, nihai"
ultimately,"nihayet, sonunda"
unable,-ebilemez
unacceptable,kabul edilemez
unattractive,çekici olmayan
unauthorized,izinsiz
unavoidable,kaçınılmaz
uncertain,belirsiz
uncomfortable,rahatsız
uncommon,nadir
unconquered,"keşfedilmemiş, fethedilmemiş"
under consideration,dikkate alınan
underestimate,azımsamak
undergo,dönüşmek
underground,yer altı
underlie,altında yatmak
underlying,altında yatan
understand,anlamak
understanding,anlayış
undertake,"yürütmek, üstlenmek"
undervalue,azımsamak
underwater,su altı
underworld,yeraldı
undoubtedly,şüphesiz
unearth,topraktan çıkarmak
uneasiness,rahatsızlık
uneducated,eğitimsiz
unexpected,beklenmedik
unfairly,adil olmayan bir biçimde
unfamiliar,tanıdık olmayan
unfit,zinde olmayan
unforgettable,unutulmaz
unfortunate,şanssız
unfortunately,"maalesef, ne yazık ki"
unhappy,üzücü
unify,bütünleşmek
uninteresting,ilgi çekici olmayan
union,birlik
unique,eşsiz
unit,birim
united,birlik
universal,evrensel
universe,evren
unkind,kaba
unknown,bilinmeyen
unlike,"aksine, tersine"
unlikely,"mümkün görünmeyen, uzak, konuyla bağlantısız"
unmapped,haritalanmamış
unmarried,evli olmayan
unnecessarily,gereksiz yere
unnecessary,gereksiz
unpaved,kaldırımsız
unpleasant,"nahoş, çirkin, üzücü"
unprecedented,eşi benzeri görülmemiş
unpredictable,tahmin edilemez
unpublished,yayımlanmamış
unrealistic,gerçek dışı
unrelated,ilgisiz
unreliable,güvenilmez
unremarkably,genellikle
unsinkable,batmaz
unsurpassed,eşsiz
unusual,sıradışı
unusually,sıra dışı
unwisely,düşüncesizce
upgrade,yükseltmek
upper,üst
upper class,üst tabaka
upset,"üzgün, üzmek"
up-to-date,güncel
urban,kentsel
urea,üre
urgent,acil
urine,idrar
usable,kullanılabilir
use,"kullanım, kullanmak"
use up,tüketmek
useful,faydalı
usefulness,kullanışlılık
useless,işe yaramaz
user,kullanıcı
utility,"fayda, işe yararlık"
utmost,son derece
vaccine,aşı
vague,"belirsiz, muğlak"
valid,geçerli
validity,geçerlilik
valley,vadi
valuable,değerli
value,"değer, kıymet, fiyat, bedel / değer vermek"
vanish,"yok olmak, silinmek"
variable,değişken
variation,değişim
varied,çeşitli
variety,"çeşit, çeşitlilik"
various,çeşitli
vary,değişmek
varying,değişken
vast,"geniş, kapsamlı, uçsuz bucaksız"
vegetable,sebze
versatile,çok yönlü
verse,uyaksız şiir
very few,çok az sayıda
vibrant,"canlı, coşkulu"
vibration,titreşim
view,"görüş, manzara, görüntü"
viewer,izleyici
village,köy
violence,şiddet
violent,vahşi
virtually,"gerçekten, neredeyse"
visible,görünür
vision,öngörü
visit,ziyaret etmek
visitor,ziyaretçi
visual,görsel
visualisation,görsel
vital,kritik
vivid,canlı
vivid,"canlı, hareketli"
vividly,canlı bir biçimde
vocabulary,sözcükler
vocalist,"vokalist, şarkıcı"
voice,ses
volume,(kitap) cilt
volunteer,gönüllü
vote,oy
voyage,yolculuk
wage,"maaş, ücret"
wait on,eşlik etmek
waiter,garson
walk,yürümek
walk off,alıp gitmek
walking stick,baston
wall,duvar
walnut,ceviz
war,savaş
war vessel,savaş gemisi
warm,"sıcak, ılık"
warn,uyarmak
waste,"boşa harcamak, ziyan etmek, israf etmek"
waste product,atık
watch out for,dikkat etmek
watermelon,karpuz
waterway,su yolu
wave,dalga
way,"yol, biçim, yöntem"
way of life,yaşam biçimi
weaken,zayıflatmak
weakness,zayıf yön
wealth,"zenginlik, refah"
wealthy,zengin
wear,giymek / aşındırmak
weather,hava durumu
wedding,düğün
weed,zararlı ot
weekly,haftalık
weight,ağırlık
welfare,"refah, zenginlik"
well funded,iyi finanse edilmiş
well- known,bildik
well off,zengin
well-being,"refah, mutluluk, zenginlik"
well-informed,bilgili
well-paid,dolgun ücretli
west,batı
Westerner,Batılı
wet,"ıslak, nemli, yağışlı"
whale,balina
What's wrong?,Sorun / Problem ne?
whatsoever,herhangi bir
wheat,buğday
whole,"bütün, tam"
widely,yaygın olarak
widen,genişletmek
wide-ranging,kapsamlı
widespread,yaygın
wild,vahşi
wilderness,"ıssız bölge, vahşi doğa"
wildflower,yabani çiçek
wildlife,yaban hayatı
willing to,"istekli, hevesli"
win,kazanmak
wind,rüzgar
wind farm,rüzgar türbinlerinin olduğu araziler
windblown,rüzgarla sürüklenen
windmill,"rüzgar santrali, yeldeğirmeni"
window,pencere
wing,kanat
wise,bilge
wit,nüktedan
witchcraft,cadı
with care,özenle
with regard to,… ile ilgili
withstand,"dayanmak, karşı koymak"
witness,"karşılaşmak, tanık olmak / tanık"
wolf,kurt
wonder,"düşünmek, merak / merak etmek"
wonderful,"harika, muhteşem"
wood,"ağaç, odun, ahşap"
woods,orman
woody bamboo,odunsu bambu
work,eser
work force,iş gücü
work of art,sanat eseri
work out,"çalışmak, hesaplamak, çözmek"
workable,üzerinde çalışılabilir
workforce,işgücü
working hour,çalışma saati
worldwide,dünya çapında
worried,endişeli
worry,endişelenmek
worship,"ibadet, ibadet etmek"
worth,değer / -e değer
wound,yara
write,yazmak
write down,yazıya dökmek
writer,yazar
wrong,"hata, hatalı"
